VAZAMENTO FEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Adicões,,,,,,,,,,,,,,,,,Composição Química Aço,,,,,,,,Composição Química escória,,,,,,,,,Observações corridas,,,,,,,,,,,,,,,,,,,,,,,,,
Informações de corrida,,,,,,Fundentes/Formadores de escória,,,,,,Ligas/Desoxidantes,,,,,,Resíduos,,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contagem,Data,N° Corrida,Peso Aço,Tipo de aço,T°Vazamento,Cal Calcítica,Cal Dolomítica,Fluorita,Alumina,TS XXXX,CaC2,Carbono,FeSi,FeSiMn,SiC,Resíduo CaSi,Alumínio metálico,Areia,Escória de retorno,Aditivo de vazamento extra 1,Aditivo de vazamento extra 2,Aditivo de vazamento extra 3,C,Si,Mn,P,S,Nb,ppm O2 ,Mn/S,CaO,MgO,SiO2,Al2O3,FeO,MnO,CaF2,Basicidade,Fechamento,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30-04-24,45050,64,1026,1635,250,,,,,,,,600,,,,90,,,,,0.070,0.100,0.560,0.018,0.038,,266.000,,29.71,8.20,19.07,13.10,20.52,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30-04-24,45051,66,1026,1623,250,,,,,,,,600,,,,90,,,,,0.080,0.120,0.590,0.018,0.035,,398.000,,28.79,8.05,18.61,10.44,25.20,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30-04-24,45052,66,1026,1661,250,,,,,,,,600,,,,90,,,,,0.100,0.160,0.670,0.027,0.035,,286.000,,29.02,7.09,19.48,13.29,21.86,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30-04-24,45053,66,1026,1630,250,,,,,,,,600,,,,90,,,,,0.070,0.140,0.660,0.021,0.034,,454.000,,31.33,9.47,19.13,15.58,14.49,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01-05-24,45072,66,1026,1615,250,,,,,,,,600,,,,90,,,,,0.080,0.110,0.560,0.018,0.034,,564.000,,25.21,8.23,19.36,14.76,20.90,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,01-05-24,45073,66,1026,1621,250,,,,,,,,600,,,,90,,,,,0.090,0.160,0.720,0.025,0.039,,335.000,,25.33,6.76,16.85,11.33,28.26,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,01-05-24,45074,66,1026,1635,250,,,,,,,,600,,,,90,,,,,0.090,0.140,0.650,0.025,0.036,,474.000,,27.51,6.38,21.47,14.21,19.42,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,01-05-24,45075,66,1026,1632,250,,,,,,,,600,,,,90,,,,,0.110,0.160,0.640,0.031,0.037,,266.000,,27.66,10.90,20.59,13.34,18.31,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORNO PANELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informações de corrida,,,,,,,Adicões,,,,,,,Ligas e desoxidades,,,,,,,Outros,,,Composição Química Aço (CFP),,,,,,,,Composição Química Aço (FFP),,,,,,,,Composição Química escória (CFP),,,,,,,,,Composição Química escória (FFP),,,,,,,,,Observações,,,,,,,
,,,,,,,Fundentes/Formadores de escória,,,,,,Ligas/Desoxidantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contagem,Data,N° Corrida,Peso Aço,Tipo de aço,T°iFP,T°fFP,Cal Calcítica,Cal Dolomítica,Fluorita,Alumina,TS ***,CaC2,Carbono,FeSi,FeSiMn,SiC,CaSi,Alumínio metálico,FeS,Mn Eletrolítico,Aditivo de FP extra 1,Aditivo de FP extra 2,Aditivo de FP extra 3,C,Si,Mn,P,S,Nb,ppm O2 ,Mn/S,C,Si,Mn,P,S,Nb,ppm O2 ,Mn/S,CaO,MgO,SiO2,Al2O3,FeO,MnO,CaF2,Basicidade,Fechamento,CaO,MgO,SiO2,Al2O3,FeO,MnO,CaF2,Basicidade,Fechamento,,,,,,,,
1,30-04-24,45050,64,1026,1610.00,1596.00,60.00,20.00,15.00,,,,115.00,20.00,90.00,,140.00,,,,,,,0.260,0.150,0.720,0.020,0.031,,,,0.270,0.140,0.680,0.021,0.029,,,,37.27,17.02,22.87,8.01,6.49,5.83,,,,48.80,13.87,24.02,6.87,0.93,0.90,1.47,,,,,,,,,,
2,30-04-24,45051,66,1026,1574.00,1610.00,60.00,,,,,,125.00,10.00,50.00,,190.00,,,,,,,0.250,0.140,0.720,0.019,0.032,,,,0.260,0.130,0.690,0.019,0.025,,,,39.29,14.47,25.26,7.47,4.24,6.56,,,,52.71,11.72,25.02,6.18,0.42,0.46,1.09,,,,,,,,,,
3,30-04-24,45052,66,1026,1581.00,1612.00,40.00,20.00,,,,,125.00,,,,200.00,,,,,,,0.260,0.170,0.690,0.027,0.029,,,,0.250,0.150,0.670,0.027,0.025,,,,38.50,14.43,20.99,11.61,5.53,5.49,,,,50.42,13.04,23.54,7.64,1.71,0.80,0.93,,,,,,,,,,
4,30-04-24,45053,66,1026,1579.00,1598.00,80.00,40.00,45.00,,,,110.00,15.00,60.00,,140.00,,,,,,,0.260,0.130,0.720,0.023,0.024,,,,0.025,0.150,0.670,0.027,0.025,,,,46.63,16.08,22.20,6.99,2.05,3.70,,,,51.74,10.97,22.48,5.32,0.47,0.42,5.37,,,,,,,,,,
5,01-05-24,45072,66,1026,1568.00,1589.00,60.00,40.00,30.00,,,,120.00,15.00,80.00,,210.00,,,,,,,0.240,0.130,0.720,0.020,0.031,,,,0.270,0.140,0.710,0.021,0.027,,,,38.22,14.06,22.13,9.18,7.61,5.88,,,,48.34,14.64,24.68,7.43,0.98,0.73,0.83,,,,,,,,,,
6,01-05-24,45073,66,1026,1565.00,1593.00,40.00,20.00,,,,,100.00,,40.00,,200.00,,,,,,,0.250,0.140,0.800,0.026,0.034,,,,0.260,0.140,0.770,0.025,0.027,,,,38.23,15.78,22.58,7.44,5.22,7.22,,,,49.32,12.00,24.83,8.34,0.62,0.66,1.81,,,,,,,,,,
7,01-05-24,45074,66,1026,1587.00,1590.00,40.00,,,,,,110.00,,60.00,,180.00,,,,,,,0.240,0.140,0.720,0.025,0.029,,,,,0.140,,,,,,,33.83,15.25,21.92,9.22,8.98,6.61,,,,48.45,13.03,26.23,8.04,0.34,0.64,0.76,,,,,,,,,,
8,01-05-24,45075,66,1026,1578.00,1586.00,20.00,20.00,45.00,,,,110.00,,40.00,,160.00,,,,,,,0.260,0.170,0.710,0.032,0.030,,,,,0.150,,,,,,,54.48,12.75,21.24,6.80,0.87,0.59,,,,50.35,13.08,24.85,6.80,1.12,1.04,0.56,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dados Forno Panela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contagem,Corrida,TTT (min),Power on (min),Energia (kwh/t),N° Panela,Campanha panela (aço),Borda livre (cm),Espessura de esc (cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45045,34.00,28.50,3340.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45046,"23,3",19.30,1990.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45047,26.60,16.20,1880.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45048,22.90,14.50,1770.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,45049,21.50,16.50,1480.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,45050,10.40,10.60,1210.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,45051,16.00,16.00,1920.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,45052,38.00,27.00,3170.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,45053,35.00,19.00,2210.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,45065,28.00,23.00,2820.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,45066,26.00,19.00,2340.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,45067,17.00,7.00,850.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,45068,22.00,16.00,2030.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,45069,18.00,11.00,1450.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,45064,47.00,19.00,2380.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,45071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,45072,19.00,16.00,1870.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,45073,18.00,15.00,1790.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,45074,18.00,13.00,1530.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,45075,21.00,13.00,1580.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24.36,16.82,1979.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.145569305,5.312624268,631.8181321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,